Accession	Gene_name	Protein_name	Original_ID	Entry_name	Experiment_id
Q5SUF2-1	Luc7l3 	Luc7-like protein 3	IPI00649422.1	Isoform 1 of Luc7-like protein 3	exp092
Q99MX0	Tktl1	Transketolase-like protein 1	IPI00118160.6	Transketolase-like protein 1	exp092
NA	NA	NA	IPI00775993.1	Janus kinase 1	exp092
P11984	NA	T-complex protein 1 subunit alpha	IPI00118678.1	T-complex protein 1 subunit alpha A	exp092
Q5SXY1-2	Specc1	Isoform 2 of Cytospin-B	IPI00122577.8	Isoform 2 of Cytospin-B	exp092
Q99P72-2	Rtn4 	Reticulon-4	IPI00469392.2	Isoform 1 of Reticulon-4	exp092
NA	NA	NA	IPI00881750.1	14 kDa protein	exp092
P12023-2	App	Isoform APP695 of Amyloid beta A4 protein	IPI00323079.1	Isoform APP695 of Amyloid beta A4 protein (Fragment)	exp092
Q5SXY1-3	Specc1	Isoform 4 of Cytospin-B	IPI00381563.4	Isoform 4 of Cytospin-B	exp092
Q99PT1	Arhgdia;C87222;Gdi1	Rho GDP-dissociation inhibitor 1	IPI00322312.3	Rho GDP-dissociation inhibitor 1	exp092
NA	NA	NA	IPI00785414.1	MHC class Ia H2-K antigen (Fragment)	exp092
P12787	Cox5a	Cytochrome c oxidase subunit 5A, mitochondrial	IPI00120719.4	Cytochrome c oxidase subunit 5A, mitochondrial	exp092
Q5Y5T1-2	Zdhhc20	Isoform 2 of Probable palmitoyltransferase ZDHHC20	IPI00620467.1	Isoform 2 of Probable palmitoyltransferase ZDHHC20	exp092
Q99PV0	Prpf8;Prp8	Pre-mRNA-processing-splicing factor 8	IPI00121596.4	Pre-mRNA-processing-splicing factor 8	exp092
NA	NA	NA	IPI00845660.1	H2-D1 protein (Fragment)	exp092
P12970	Rpl7a;Surf-3;Surf3	60S ribosomal protein L7a	IPI00330363.8	60S ribosomal protein L7a	exp092
Q60575-2	Kif1b	Isoform 2 of Kinesin-like protein KIF1B	IPI00407144.1	Isoform 2 of Kinesin-like protein KIF1B	exp092
Q9CPP6	Ndufa5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	IPI00331332.6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	exp092
NA	NA	NA	IPI00881799.1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d	exp092
P13020-2	Gsn	Isoform 2 of Gelsolin	IPI00759948.1	Isoform 2 of Gelsolin	exp092
Q60605-2	Myl6	Isoform Smooth muscle of Myosin light polypeptide 6	IPI00354819.5	Isoform Smooth muscle of Myosin light polypeptide 6	exp092
Q9CPQ1	Cox6c	Cytochrome c oxidase subunit 6C	IPI00131771.3	Cytochrome c oxidase subunit 6C	exp092
NA	NA	NA	IPI00230064.2	Solute carrier family 12, member 6 isoform 1	exp092
P13595-2	Ncam1	Isoform 2 of Neural cell adhesion molecule 1	IPI00230665.2	Isoform 2 of Neural cell adhesion molecule 1	exp092
Q60634-1	Flot2 	Flotillin-2	IPI00754549.2	Isoform 1 of Flotillin-2	exp092
Q9CPQ3	Tomm22;Tom22	Mitochondrial import receptor subunit TOM22 homolog	IPI00315135.3	Mitochondrial import receptor subunit TOM22 homolog	exp092
NA	NA	NA	IPI00881557.1	47 kDa protein	exp092
P13595-3	Ncam1	Isoform 3 of Neural cell adhesion molecule 1	IPI00830721.2	Isoform 3 of Neural cell adhesion molecule 1	exp092
Q60634-3	Flot2	Isoform 3 of Flotillin-2	IPI00943452.1	Isoform 3 of Flotillin-2	exp092
Q9CQ22	Lamtor1	Ragulator complex protein LAMTOR1	IPI00315187.5	RhoA activator C11orf59 homolog	exp092
NA	NA	NA	IPI00457499.5	GCN1 general control of amino-acid synthesis 1-like 1	exp092
P14069	S100a6;Cacy	Protein S100-A6	IPI00121427.1	Protein S100-A6	exp092
Q60668-4	Hnrnpd	Isoform 4 of Heterogeneous nuclear ribonucleoprotein D0	IPI00336874.1	Isoform 4 of Heterogeneous nuclear ribonucleoprotein D0	exp092
Q9CQ75	Ndufa2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	IPI00315302.5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	exp092
NA	NA	NA	IPI00750074.1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma subunit isoform b	exp092
P14131	Rps16	40S ribosomal protein S16	IPI00881758.1	40S ribosomal protein S16	exp092
Q60737	Csnk2a1;Ckiia	Casein kinase II subunit alpha	IPI00120162.1	Casein kinase II subunit alpha	exp092
Q9CQ91	Ndufa3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	IPI00132216.1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	exp092
NA	NA	NA	IPI00923013.1	Ubiquitin B	exp092
P14148	Rpl7	60S ribosomal protein L7	IPI00311236.1	60S ribosomal protein L7	exp092
Q60738	Slc30a1;Znt1	Zinc transporter 1	IPI00120166.1	Zinc transporter 1	exp092
Q9CQ92	Fis1;Ttc11	Mitochondrial fission 1 protein	IPI00132217.1	Mitochondrial fission 1 protein	exp092
NA	NA	NA	IPI00762595.1	mRNA	exp092
P14206	Rpsa;Lamr1;P40-8	40S ribosomal protein SA	IPI00123604.4	40S ribosomal protein SA	exp092
Q60749	Khdrbs1	KH domain-containing, RNA-binding, signal transduction-associated protein 1	IPI00458765.2	KH domain-containing, RNA-binding, signal transduction-associated protein 1	exp092
Q9CQA3	Sdhb	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	IPI00338536.1	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	exp092
NA	NA	NA	IPI00875163.1	H2-gs10 protein	exp092
P14211	Calr	Calreticulin	IPI00123639.1	Calreticulin	exp092
Q60817	Naca	Nascent polypeptide-associated complex subunit alpha	IPI00121297.1	Nascent polypeptide-associated complex subunit alpha	exp092
Q9CQC6	Bzw1	Basic leucine zipper and W2 domain-containing protein 1	IPI00132388.3	Basic leucine zipper and W2 domain-containing protein 1	exp092
NA	NA	NA	IPI00473538.2	MHC class I heavy chain H2-K	exp092
P14869	Rplp0;Arbp	60S acidic ribosomal protein P0	IPI00314950.2	60S acidic ribosomal protein P0	exp092
Q60854	Serpinb6;Serpinb6a;Spi3	Serpin B6	IPI00121471.1	Serpin B6	exp092
Q9CQD1	Rab5a;nnyRab5a	Ras-related protein Rab-5A	IPI00132410.1	Ras-related protein Rab-5A	exp092
NA	NA	NA	IPI00473232.1	Arylacetamide deacetylase-like 1, isoform CRA_c	exp092
P14901	Hmox1	Heme oxygenase 1	IPI00131577.1	Heme oxygenase 1	exp092
Q60864	Stip1	Stress-induced-phosphoprotein 1	IPI00121514.3	Stress-induced-phosphoprotein 1	exp092
Q9CQE8	NA	UPF0568 protein C14orf166 homolog	IPI00132456.1	UPF0568 protein C14orf166 homolog	exp092
NA	NA	NA	IPI00918137.1	Heterogeneous nuclear ribonucleoprotein M	exp092
P15379-2	Cd44	Isoform 13 of CD44 antigen	IPI00720073.1	Isoform 13 of CD44 antigen	exp092
Q60870	Reep5;Dp1	Receptor expression-enhancing protein 5	IPI00315463.4	Receptor accessory protein 5	exp092
Q9CQF9	Pcyox1;Kiaa0908	Prenylcysteine oxidase	IPI00460063.2	Prenylcysteine oxidase	exp092
NA	NA	NA	IPI00882008.1	Transferrin receptor, isoform CRA_c	exp092
P15864	Hist1h1c;H1f2	Histone H1.2	IPI00223713.5	Histone H1.2	exp092
Q60872	Eif1a	Eukaryotic translation initiation factor 1A	IPI00153608.3	Eukaryotic translation initiation factor 1A	exp092
Q9CQM9	Glrx3;Picot;Txnl2	Glutaredoxin-3	IPI00315550.3	Glutaredoxin-3	exp092
NA	NA	NA	IPI00309964.3	Nicotinamide nucleotide transhydrogenase precursor	exp092
P15920-1	Atp6v0a2 	V-type proton ATPase 116 kDa subunit a isoform 2	IPI00135975.1	Isoform 1 of V-type proton ATPase 116 kDa subunit a isoform 2	exp092
Q60930	Vdac2;Vdac6	Voltage-dependent anion-selective channel protein 2	IPI00122547.1	Voltage-dependent anion-selective channel protein 2	exp092
Q9CQQ7	Atp5f1	ATP synthase F	IPI00341282.2	ATP synthase subunit b, mitochondrial	exp092
NA	NA	NA	IPI00108371.3	Serine carboxypeptidase 1 precursor	exp092
P16045	Lgals1;Gbp	Galectin-1	IPI00229517.5	Galectin-1	exp092
Q60931	Vdac3	Voltage-dependent anion-selective channel protein 3	IPI00876341.1	Voltage-dependent anion-selective channel protein 3	exp092
Q9CQR2	Rps21	40S ribosomal protein S21	IPI00132950.1	40S ribosomal protein S21	exp092
NA	NA	NA	IPI00460855.1	cDNA fis, clone TRACH3016614, moderately similar to Peptidyl-prolyl cis-trans isomerase B	exp092
P16460	Ass1;Ass	Argininosuccinate synthase	IPI00134746.5	Argininosuccinate synthase	exp092
Q60932-2	Vdac1	Isoform Mt-VDAC1 of Voltage-dependent anion-selective channel protein 1	IPI00230540.1	Isoform Mt-VDAC1 of Voltage-dependent anion-selective channel protein 1	exp092
Q9CQS8	Sec61b	Protein transport protein Sec61 subunit beta	IPI00133030.3	Protein transport protein Sec61 subunit beta	exp092
NA	NA	NA	IPI00853656.1	14 kDa protein	exp092
P16546-2	Sptan1	Isoform 2 of Spectrin alpha chain, non-erythrocytic 1	IPI00753793.2	Isoform 2 of Spectrin alpha chain, brain	exp092
Q61011	Gnb3	Guanine nucleotide-binding protein G	IPI00116938.1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3	exp092
Q9CQU3	Rer1	Protein RER1	IPI00133119.1	Protein RER1	exp092
NA	NA	NA	IPI00462753.1	1810006K21Rik protein	exp092
P17182	Eno1;Eno-1	Alpha-enolase	IPI00462072.3	Alpha-enolase	exp092
Q61081	Cdc37	Hsp90 co-chaperone Cdc37	IPI00117087.1	Hsp90 co-chaperone Cdc37	exp092
Q9CQV8-2	Ywhab	Isoform Short of 14-3-3 protein beta/alpha	IPI00760000.1	Isoform Short of 14-3-3 protein beta/alpha	exp092
NA	NA	NA	IPI00658401.5	Similar to GCN1 general control of amino-acid synthesis 1-like 1	exp092
P17426-2	Ap2a1	Isoform B of AP-2 complex subunit alpha-1	IPI00622911.1	Isoform B of AP-2 complex subunit alpha-1	exp092
Q61144-2	Psen2	Isoform 2 of Presenilin-2	IPI00357546.1	Isoform 2 of Presenilin-2	exp092
Q9CQW2	Arl8b;Arl10c;Gie1	ADP-ribosylation factor-like protein 8B	IPI00133218.3	ADP-ribosylation factor-like protein 8B	exp092
NA	NA	NA	IPI00831676.1	237 kDa protein	exp092
P17427	Ap2a2;Adtab	AP-2 complex subunit alpha-2	IPI00310131.5	AP-2 complex subunit alpha-2	exp092
Q61147	Cp	Ceruloplasmin	IPI00117831.2	Ceruloplasmin	exp092
Q9CQX2	Cyb5b;Cyb5m	Cytochrome b5 type B	IPI00315794.1	Cytochrome b5 type B	exp092
NA	NA	NA	IPI00928284.1	Prosaposin isoform E preproprotein	exp092
P17439	Gba	Glucosylceramidase	IPI00108811.1	Glucosylceramidase	exp092
Q61165	Slc9a1;Nhe1	Sodium/hydrogen exchanger 1	IPI00380785.16	Sodium/hydrogen exchanger 1	exp092
Q9CQY5-2	Magt1	Isoform 2 of Magnesium transporter protein 1	IPI00762776.1	Isoform 2 of Magnesium transporter protein 1	exp092
NA	NA	NA	IPI00857618.1	26 kDa protein	exp092
P17742	Ppia	Peptidyl-prolyl cis-trans isomerase A	IPI00554989.3	MCG121511, isoform CRA_b	exp092
Q61171	Prdx2;Tdpx1;Tpx	Peroxiredoxin-2	IPI00117910.3	Peroxiredoxin-2	exp092
Q9CQZ5	Ndufa6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	IPI00133399.1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	exp092
NA	NA	NA	IPI00830554.2	Torsin A interacting protein 1 isoform 3	exp092
P17751	Tpi1;Tpi	Triosephosphate isomerase	IPI00467833.6	Triosephosphate isomerase 1	exp092
Q61187	Tsg101	Tumor susceptibility gene 101 protein	IPI00117944.1	Tumor susceptibility gene 101 protein	exp092
Q9CQZ6	Ndufb3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	IPI00133403.1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	exp092
NA	NA	NA	IPI00125208.6	Nuclear receptor coactivator 4	exp092
P17809	Slc2a1;Glut-1;Glut1	Solute carrier family 2, facilitated glucose transporter member 1	IPI00308691.1	Solute carrier family 2, facilitated glucose transporter member 1	exp092
Q61316	Hspa4;Apg2;Hsp110	Heat shock 70 kDa protein 4	IPI00331556.5	Heat shock 70 kDa protein 4	exp092
Q9CR16	Ppid	Peptidyl-prolyl cis-trans isomerase D	IPI00132966.3	40 kDa peptidyl-prolyl cis-trans isomerase	exp092
NA	NA	NA	IPI00880977.1	Protein	exp092
P18572-2	Bsg	Isoform 2 of Basigin	IPI00113869.1	Isoform 2 of Basigin	exp092
Q61335	Bcap31;Bap31	B-cell receptor-associated protein 31	IPI00230422.6	B-cell receptor-associated protein 31	exp092
Q9CR20	Ier3ip1	Immediate early response 3-interacting protein 1	IPI00133002.1	Immediate early response 3-interacting protein 1	exp092
NA	NA	NA	IPI00672270.1	Similar to translocon-associated protein alpha, muscle specific	exp092
P18581-2	Slc7a2	Isoform 2 of Low affinity cationic amino acid transporter 2	IPI00227855.1	Isoform 2 of Low affinity cationic amino acid transporter 2	exp092
Q61387	Cox7a2l;Cox7rp;Silg81	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	IPI00120136.1	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	exp092
Q9CR51	Atp6v1g1;Atp6g1	V-type proton ATPase subunit G 1	IPI00133163.3	V-type proton ATPase subunit G 1	exp092
NA	NA	NA	IPI00831063.1	18 kDa protein	exp092
P18828-2	Sdc1	Isoform 2 of Syndecan-1	IPI00125849.1	Isoform 2 of Syndecan-1	exp092
Q61391	Mme	Neprilysin	IPI00461861.5	Neprilysin	exp092
Q9CR57	Rpl14	60S ribosomal protein L14	IPI00133185.3	60S ribosomal protein L14	exp092
NA	NA	NA	IPI00459111.4	Rab6/rab5-associated protein	exp092
P18872-2	Gnao1	Isoform Alpha-2 of Guanine nucleotide-binding protein G(o) subunit alpha	IPI00115546.4	Isoform Alpha-2 of Guanine nucleotide-binding protein G(o) subunit alpha	exp092
Q61411	Hras;Hras1	GTPase HRas	IPI00121071.5	GTPase HRas	exp092
Q9CR60	Golt1b	Vesicle transport protein GOT1B	IPI00133212.1	Vesicle transport protein GOT1B	exp092
NA	NA	NA	IPI00667092.4	MKIAA0233 protein (Fragment)	exp092
P19324	Serpinh1;Cbp1;Hsp47	Serpin H1	IPI00114733.1	Serpin H1	exp092
Q61490	Alcam	CD166 antigen	IPI00121378.2	CD166 antigen	exp092
Q9CR62	Slc25a11	Mitochondrial 2-oxoglutarate/malate carrier protein	IPI00230754.5	Mitochondrial 2-oxoglutarate/malate carrier protein	exp092
NA	NA	NA	IPI00666574.1	TIP47 protein isoform 2	exp092
P19536	Cox5b	Cytochrome c oxidase subunit 5B, mitochondrial	IPI00785410.1	Cytochrome c oxidase subunit 5B, mitochondrial	exp092
Q61503	Nt5e;Nt5;Nte	5'-nucleotidase	IPI00122257.1	5'-nucleotidase	exp092
Q9CR68	Uqcrfs1	Cytochrome b-c1 complex subunit Rieske, mitochondrial	IPI00133240.1	Cytochrome b-c1 complex subunit Rieske, mitochondrial	exp092
NA	NA	NA	IPI00751863.1	Putative uncharacterized protein	exp092
P19783	Cox4i1;Cox4;Cox4a	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	IPI00117978.1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	exp092
Q61543	Glg1;Esl1;Mg160;Selel	Golgi apparatus protein 1	IPI00122399.1	Golgi apparatus protein 1	exp092
Q9CRD2	Emc2;Kiaa0103;Ttc35	ER membrane protein complex subunit 2	IPI00133612.1	Tetratricopeptide repeat protein 35	exp092
NA	NA	NA	IPI00914724.1	T-cell, immune regulator 1	exp092
P20029	Hspa5;Grp78	78 kDa glucose-regulated protein	IPI00319992.1	78 kDa glu	exp092
Q61553	Fscn1;Fan1;Snl	Fascin	IPI00353563.4	Fascin	exp092
Q9CRY7	Gdpd1;Gde4	Glycerophosphodiester phosphodiesterase domain-containing protein 1	IPI00134420.1	Glycerophosphodiester phosphodiesterase domain-containing protein 1	exp092
NA	NA	NA	IPI00475146.1	Dudulin	exp092
P20065-2	Tmsb4x	Isoform Short of Thymosin beta-4	IPI00228757.1	Isoform Short of Thymosin beta-4	exp092
Q61595-2	Ktn1	Isoform 2 of Kinectin	IPI00759943.1	Isoform 2 of Kinectin	exp092
Q9CVB6	Arpc2	Actin-related protein 2/3 complex subunit 2	IPI00661414.2	Actin-related protein 2/3 complex subunit 2	exp092
NA	NA	NA	IPI00652042.1	Putative uncharacterized protein	exp092
P20152	Vim	Vimentin	IPI00227299.6	Vimentin	exp092
Q61595-3	Ktn1	Isoform 3 of Kinectin	IPI00759952.1	Isoform 3 of Kinectin	exp092
Q9CWF2	Tubb2b	Tubulin beta-2B chain	IPI00109061.1	Tubulin beta-2B chain	exp092
NA	NA	NA	IPI00758218.3	Nucleolar protein 5A	exp092
P21107-2	Tpm3	Isoform 2 of Tropomyosin alpha-3 chain	IPI00230044.5	Isoform 2 of Tropomyosin alpha-3 chain	exp092
Q61656	Ddx5;Tnz2	Probable ATP-dependent RNA helicase DDX5	IPI00420363.2	Probable ATP-dependent RNA helicase DDX5	exp092
Q9CX00	Ist1;Kiaa0174	IST1 homolog	IPI00109389.1	IST1 homolog	exp092
NA	NA	NA	IPI00919154.1	7 kDa protein	exp092
P21278	Gna11;Gna-11	Guanine nucleotide-binding protein subunit alpha-11	IPI00121387.1	Guanine nucleotide-binding protein subunit alpha-11	exp092
Q61696	Hspa1a;Hsp70-3;Hsp70A1	Heat shock 70 kDa protein 1A	IPI00798482.17	Inducible heat shock protein 70	exp092
Q9CXE7	Tmed5	Transmembrane emp24 domain-containing protein 5	IPI00466640.2	Transmembrane emp24 domain-containing protein 5	exp092
NA	NA	NA	IPI00885811.1	Protein	exp092
P21279	Gnaq	Guanine nucleotide-binding protein G	IPI00228618.5	Guanine nucleotide-binding protein G(q) subunit alpha	exp092
Q61735-1	Cd47 	Leukocyte surface antigen CD47	IPI00403079.4	Isoform 1 of Leukocyte surface antigen CD47	exp092
Q9CXL1	Tmem50a;Smp1	Transmembrane protein 50A	IPI00110453.1	Transmembrane protein 50A	exp092
NA	NA	NA	IPI00830538.1	29 kDa protein	exp092
P21956-2	Mfge8	Isoform 2 of Lactadherin	IPI00322712.1	Isoform 2 of Lactadherin	exp092
Q61753	Phgdh	D-3-phosphoglycerate dehydrogenase	IPI00225961.5	D-3-phosphoglycerate dehydrogenase	exp092
Q9CXP8	Gng10	Guanine nucleotide-binding protein G subunit gamma-10	IPI00110583.1	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	exp092
NA	NA	NA	IPI00653231.1	Putative uncharacterized protein	exp092
P21981	Tgm2	Protein-glutamine gamma-glutamyltransferase 2	IPI00126861.3	Protein-glutamine gamma-glutamyltransferase 2	exp092
Q61820	Rasl2-9	GTP-binding nuclear protein Ran, testis-specific isoform	IPI00126133.1	GTP-binding nuclear protein Ran, testis-specific isoform	exp092
Q9CXT7-2	Tmem192	Isoform 2 of Transmembrane protein 192	IPI00123803.1	Isoform 2 of Transmembrane protein 192	exp092
NA	NA	NA	IPI00755966.1	Bcl2-like 1	exp092
P21995	Emb;Gp70	Embigin	IPI00129968.2	Embigin	exp092
Q61879	Myh10	Myosin-10	IPI00515398.1	Myosin-10	exp092
Q9CXW3	Cacybp;Sip	Calcyclin-binding protein	IPI00115650.4	Calcyclin-binding protein	exp092
NA	NA	NA	IPI00857509.1	19 kDa protein	exp092
P23116	Eif3a;Csma;Eif3;Eif3s10	Eukaryotic translation initiation factor 3 subunit A	IPI00129276.2	Eukaryotic translation initiation factor 3 subunit A	exp092
Q61990-2	Pcbp2	Isoform 2 of Poly(rC)-binding protein 2	IPI00221796.1	Isoform 2 of Poly(rC)-binding protein 2	exp092
Q9CXW4	Rpl11	60S ribosomal protein L11	IPI00331461.4	60S ribosomal protein L11	exp092
NA	NA	NA	IPI00889805.1	Hypothetical protein	exp092
P24369	Ppib	Peptidyl-prolyl cis-trans isomerase B	IPI00135686.2	Peptidyl-prolyl cis-trans isomerase B	exp092
Q62087	Pon3	Serum paraoxonase/lactonase 3	IPI00121114.2	Serum paraoxonase/lactonase 3	exp092
Q9CY58-3	Serbp1	Isoform 3 of Plasminogen activator inhibitor 1 RNA-binding protein	IPI00471477.1	Isoform 3 of Plasminogen activator inhibitor 1 RNA-binding protein	exp092
NA	NA	NA	IPI00405303.1	Putative uncharacterized protein	exp092
P24547	Impdh2	Inosine-5'-monophosphate dehydrogenase 2	IPI00323971.2	Inosine-5'-monophosphate dehydrogenase 2	exp092
Q62093	Srsf2;Pr264;Sfrs10;Sfrs2	Serine/arginine-rich splicing factor 2	IPI00121135.5	Splicing factor, arginine/serine-rich 2	exp092
Q9CY58-4	Serbp1	Isoform 4 of Plasminogen activator inhibitor 1 RNA-binding protein	IPI00471478.1	Isoform 4 of Plasminogen activator inhibitor 1 RNA-binding protein	exp092
NA	NA	NA	IPI00474904.3	Aspartly beta-hydroxylase	exp092
P24668	M6pr;46mpr	Cation-dependent mannose-6-phosphate receptor	IPI00108844.1	Cation-dependent mannose-6-phosphate receptor	exp092
Q62095	Ddx3y;D1Pas1-rs1;Dead2	ATP-dependent RNA helicase DDX3Y	IPI00134371.1	ATP-dependent RNA helicase DDX3Y	exp092
Q9CYL5	Glipr2;Gapr1	Golgi-associated plant pathogenesis-related protein 1	IPI00416279.3	Golgi-associated plant pathogenesis-related protein 1	exp092
NA	NA	NA	IPI00331577.5	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	exp092
P25446	Fas;Apt1;Tnfrsf6	Tumor necrosis factor receptor superfamily member 6	IPI00110896.1	Tumor necrosis factor receptor superfamily member 6	exp092
Q62159	Rhoc;Arhc	Rho-related GTP-binding protein RhoC	IPI00122245.2	Rho-related GTP-binding protein RhoC	exp092
Q9CYN9	Atp6ap2;Atp6ip2	Renin receptor	IPI00459331.2	Renin receptor	exp092
NA	NA	NA	IPI00310109.2	Lysosomal membrane glycoprotein 2 isoform 2	exp092
P25911-2	Lyn	Isoform 2 of Tyrosine-protein kinase Lyn	IPI00230138.7	Isoform LYN B of Tyrosine-protein kinase Lyn	exp092
Q62186	Ssr4	Translocon-associated protein subunit delta	IPI00122346.3	Translocon-associated protein subunit delta	exp092
Q9CZ13	Uqcrc1	Cytochrome b-c1 complex subunit 1, mitochondrial	IPI00111885.1	Cytochrome b-c1 complex subunit 1, mitochondrial	exp092
NA	NA	NA	IPI00653905.3	Putative uncharacterized protein	exp092
P26039	Tln1;Tln	Talin-1	IPI00465786.3	Talin-1	exp092
Q62351	Tfrc;Trfr	Transferrin receptor protein 1	IPI00124700.1	Transferrin receptor protein 1	exp092
Q9CZ69	Cmtm6;Cklfsf6	CKLF-like MARVEL transmembrane domain-containing protein 6	IPI00112144.1	CKLF-like MARVEL transmembrane domain-containing protein 6	exp092
NA	NA	NA	IPI00649344.1	Transmembrane emp24 protein transport domain containing 4	exp092
P26041	Msn	Moesin	IPI00110588.4	Moesin	exp092
Q62371	Ddr2;Ntrkr3;Tkt;Tyro10	Discoidin domain-containing receptor 2	IPI00124761.1	Discoidin domain-containing receptor 2	exp092
Q9CZE3	Rab32	Ras-related protein Rab-32	IPI00112587.3	Ras-related protein Rab-32	exp092
NA	NA	NA	IPI00623842.4	MKIAA1825 protein	exp092
P26231	Ctnna1;Catna1	Catenin alpha-1	IPI00112963.1	Catenin alpha-1	exp092
Q62425	Ndufa4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4	IPI00125929.2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4	exp092
Q9CZW4	Acsl3;Acs3;Facl3	Long-chain-fatty-acid--CoA ligase 3	IPI00169772.2	Long-chain-fatty-acid--CoA ligase 3	exp092
NA	NA	NA	IPI00830824.1	47 kDa protein	exp092
P26369	U2af2;U2af65	Splicing factor U2AF 65 kDa subunit	IPI00113746.3	Splicing factor U2AF 65 kDa subunit	exp092
Q62465	Vat1;Vat-1	Synaptic vesicle membrane protein VAT-1 homolog	IPI00126072.2	Synaptic vesicle membrane protein VAT-1 homolog	exp092
Q9CZW5	Tomm70a;D16Wsu109e	Mitochondrial import receptor subunit TOM70	IPI00377728.2	Mitochondrial import receptor subunit TOM70	exp092
NA	NA	NA	IPI00653426.2	Putative uncharacterized protein	exp092
P26645	Marcks;Macs	Myristoylated alanine-rich C-kinase substrate	IPI00229534.5	Myristoylated alanine-rich C-kinase substrate	exp092
Q62470-1	Itga3 	Integrin alpha-3	IPI00126090.3	Isoform Alpha-3A of Integrin alpha-3	exp092
Q9CZX7	Tmem55a	Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	IPI00113239.1	Transmembrane protein 55A	exp092
NA	NA	NA	IPI00894964.1	17 kDa protein	exp092
P27046	Man2a1;Mana2	Alpha-mannosidase 2	IPI00114044.1	Alpha-mannosidase 2	exp092
Q63829	Commd3;Bup	COMM domain-containing protein 3	IPI00227640.1	COMM domain-containing protein 3	exp092
Q9CZX8	Rps19	40S ribosomal protein S19	IPI00113241.7	40S ribosomal protein S19	exp092
NA	NA	NA	IPI00648237.1	Itga3 protein	exp092
P27546-1	Map4 	Microtubule-associated protein 4	IPI00408119.6	Isoform 1 of Microtubule-associated protein 4	exp092
Q63918	Sdpr;Sdr	Serum deprivation-response protein	IPI00135660.5	Serum deprivation-response protein	exp092
Q9CZX9	Emc4;Tmem85	ER membrane protein complex subunit 4	IPI00113243.1	Transmembrane protein 85	exp092
NA	NA	NA	IPI00885547.1	Putative uncharacterized protein	exp092
P27546-3	Map4	Isoform 3 of Microtubule-associated protein 4	IPI00473748.5	Isoform 3 of Microtubule-associated protein 4	exp092
Q64008	Rab34;Rab39;Rah;Rah1	Ras-related protein Rab-34	IPI00130112.1	Ras-related protein Rab-34	exp092
Q9D023	Mpc2;Brp44	Mitochondrial pyruvate carrier 2	IPI00131896.1	Brain protein 44	exp092
NA	NA	NA	IPI00649388.1	Putative uncharacterized protein	exp092
NA	NA	NA	IPI00556827.1	Plasma membrane calcium ATPase 1	exp092
P27601	Gna13;Gna-13	Guanine nucleotide-binding protein subunit alpha-13	IPI00118569.1	Guanine nucleotide-binding protein subunit alpha-13	exp092
Q640N1-1	Aebp1 	Adipocyte enhancer-binding protein 1	IPI00875870.1	Isoform 1 of Adipocyte enhancer-binding protein 1	exp092
Q9D024-2	Ccdc47	Isoform 2 of Coiled-coil domain-containing protein 47	IPI00648479.2	Isoform 2 of Coiled-coil domain-containing protein 47	exp092
NA	NA	NA	IPI00874516.1	LIM domain and actin binding 1 isoform b	exp092
NA	NA	NA	IPI00894982.1	10 kDa protein	exp092
P27773	Pdia3;Erp;Erp60;Grp58	Protein disulfide-isomerase A3	IPI00230108.6	Protein disulfide-isomerase A3	exp092
Q640N1-2	Aebp1	Isoform 2 of Adipocyte enhancer-binding protein 1	IPI00648038.1	Isoform 2 of Adipocyte enhancer-binding protein 1	exp092
Q9D0F3	Lman1;Ergic53	Protein ERGIC-53	IPI00132475.2	Putative uncharacterized protein	exp092
NA	NA	NA	IPI00750570.1	44 kDa protein	exp092
NA	NA	NA	IPI00857439.1	55 kDa protein	exp092
P28656	Nap1l1;Nrp	Nucleosome assembly protein 1-like 1	IPI00123199.1	Nucleosome assembly protein 1-like 1	exp092
